=== WINDOWS SERVICES ===
NAME                      STATE      VERSION              RISK       PATH
Fax                       Stopped    10.0.26100.3323      Unknown    C:\WINDOWS\system32\fxssvc.exe
fdPHost                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
FDResPub                  Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
fhsvc                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
FontCache                 Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
FontCache3.0.0.0          Running    3.0.6920.9151        Unknown    C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe
FrameServer               Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
FrameServerMonitor        Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
GameInputSvc              Stopped    0.2309.26100.3037    Unknown    C:\WINDOWS\System32\GameInputSvc.exe
GoogleChromeElevationService Stopped    Path not found       Unknown    C:\Program
GoogleUpdaterInternalService135.0.7023.0 Stopped    Path not found       Unknown    C:\Program
GoogleUpdaterService135.0.7023.0 Stopped    Path not found       Unknown    C:\Program
gpsvc                     Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
GraphicsPerfSvc           Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
HgClientService           Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
hidserv                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
hns                       Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
HvHost                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
iaStorAfsService          Stopped    16.5.0.1027          Unknown    C:\WINDOWS\System32\iaStorAfsService.exe
IAStorDataMgrSvc          Running    Path not found       Unknown    C:\Program
ibtsiva                   Running    Path not found       Unknown    C:\WINDOWS\system32\ibtsiva
icssvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
igccservice               Running    1.0.3962.0           Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_c2ac023763d5d3ad\OneApp.IGCC.WinService.exe
igfxCUIService2.0.0.0     Running    6.15.101.2111        Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_38cfab2b652e4701\igfxCUIService.exe
IKEEXT                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
InstallService            Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
Intel(R) TPM Provisioning Service Stopped    1.71.99.0            Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_fc84dfa25a6a7727\lib\TPMProvisioningService.exe
InventorySvc              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
iphlpsvc                  Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
IpxlatCfgSvc              Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
jhi_service               Running    1.44.2023.710        Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe
KeyIso                    Running    10.0.26100.1882      Unknown    C:\WINDOWS\system32\lsass.exe
KtmRm                     Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
LanmanServer              Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
LanmanWorkstation         Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
lfsvc                     Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
LicenseManager            Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
lltdsvc                   Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
lmhosts                   Running    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
LMS                       Running    2316.5.1.11          Unknown    C:\WINDOWS\System32\DriverStore\FileRepository\lms.inf_amd64_a55aa2cd52a3429d\LMS.exe
LocalKdc                  Stopped    10.0.26100.1882      Unknown    C:\WINDOWS\System32\lsass.exe
LSM                       Running    Unknown              Unknown    Not available
LxpSvc                    Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
MapsBroker                Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\System32\svchost.exe
McpManagementService      Stopped    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
MDCoreSvc                 Running    Unknown              Unknown    C:\ProgramData\Microsoft\Windows
Micro Star SCM            Running    1.0.10.0             Unknown    C:\Windows\SysWOW64\MSIService.exe
MicrosoftEdgeElevationService Stopped    Path not found       Unknown    C:\Program
mpssvc                    Running    10.0.26100.1150      Unknown    C:\WINDOWS\system32\svchost.exe
